year,age,industry,female,male
2014,40-44,Real Estate Services,4000,3600
2013,40-44,Real Estate Services,3500,3600
2012,40-44,Real Estate Services,4000,2800
2011,40-44,Real Estate Services,3400,3400
2010,40-44,Real Estate Services,2100,2500
2009,40-44,Real Estate Services,3000,3200
2008,40-44,Real Estate Services,2900,2900
2007,40-44,Real Estate Services,2200,3500
2006,40-44,Real Estate Services,2300,3400
2005,40-44,Real Estate Services,2200,3200
2004,40-44,Real Estate Services,2500,3400
2003,40-44,Real Estate Services,2400,4500
2002,40-44,Real Estate Services,2700,3500
2001,40-44,Real Estate Services,2200,3800
2000,40-44,Real Estate Services,2600,3800
2021,45-49,Real Estate Services,3400,3100
2020,45-49,Real Estate Services,3700,3000
2019,45-49,Real Estate Services,3300,2600
2018,45-49,Real Estate Services,3500,3400
2017,45-49,Real Estate Services,3700,3000
2016,45-49,Real Estate Services,3000,3200
2015,45-49,Real Estate Services,2900,3400
2014,45-49,Real Estate Services,3900,3600
2013,45-49,Real Estate Services,3300,2900
2012,45-49,Real Estate Services,2800,3900
2011,45-49,Real Estate Services,2800,3000
2010,45-49,Real Estate Services,3000,3000
2009,45-49,Real Estate Services,3400,3200
2008,45-49,Real Estate Services,2300,4000
2007,45-49,Real Estate Services,2600,3000
2006,45-49,Real Estate Services,2300,4200
2005,45-49,Real Estate Services,2200,3400
2004,45-49,Real Estate Services,2100,3000
2003,45-49,Real Estate Services,2100,2300
2002,45-49,Real Estate Services,2100,3800
2001,45-49,Real Estate Services,2000,3600
2000,45-49,Real Estate Services,2000,3700
2021,50-54,Real Estate Services,3100,2700
2020,50-54,Real Estate Services,2300,2400
2019,50-54,Real Estate Services,3500,3100
2018,50-54,Real Estate Services,2800,3400
2017,50-54,Real Estate Services,3600,3500
2016,50-54,Real Estate Services,2900,4100
2015,50-54,Real Estate Services,3900,4200
2014,50-54,Real Estate Services,3600,3500
2013,50-54,Real Estate Services,3100,4100
2012,50-54,Real Estate Services,3400,3400
2011,50-54,Real Estate Services,2800,3400
2010,50-54,Real Estate Services,2300,2700
2009,50-54,Real Estate Services,2000,2500
2008,50-54,Real Estate Services,1900,2800
2007,50-54,Real Estate Services,2500,3100
2006,50-54,Real Estate Services,2800,2600
2005,50-54,Real Estate Services,1500,2400
2004,50-54,Real Estate Services,900,2500
2003,50-54,Real Estate Services,1600,2900
2002,50-54,Real Estate Services,1500,2300
2001,50-54,Real Estate Services,1100,2100
2000,50-54,Real Estate Services,1100,2400
2021,55-59,Real Estate Services,3200,2100
2020,55-59,Real Estate Services,2900,3000
2019,55-59,Real Estate Services,2500,3900
2018,55-59,Real Estate Services,2900,3900
2017,55-59,Real Estate Services,2500,4000
2016,55-59,Real Estate Services,2800,3400
2015,55-59,Real Estate Services,2700,3000
2014,55-59,Real Estate Services,2800,3100
2013,55-59,Real Estate Services,2700,2800
2012,55-59,Real Estate Services,1800,3400
2011,55-59,Real Estate Services,2200,3000
2010,55-59,Real Estate Services,1300,2300
2009,55-59,Real Estate Services,1600,2700
2008,55-59,Real Estate Services,1300,2400
2007,55-59,Real Estate Services,1100,2300
2006,55-59,Real Estate Services,1300,1700
2005,55-59,Real Estate Services,800,1700
2004,55-59,Real Estate Services,800,1500
2003,55-59,Real Estate Services,800,1500
2002,55-59,Real Estate Services,500,1500
2001,55-59,Real Estate Services,400,800
2000,55-59,Real Estate Services,400,1100
2021,60-64,Real Estate Services,2600,2700
2020,60-64,Real Estate Services,2200,2400
2019,60-64,Real Estate Services,1700,2200
2018,60-64,Real Estate Services,2800,3200
2017,60-64,Real Estate Services,2900,3200
2016,60-64,Real Estate Services,1700,3600
2015,60-64,Real Estate Services,2600,2700
2014,60-64,Real Estate Services,1700,2800
2013,60-64,Real Estate Services,1300,2100
2012,60-64,Real Estate Services,700,2600
2011,60-64,Real Estate Services,800,1500
2010,60-64,Real Estate Services,800,1500
2009,60-64,Real Estate Services,800,2000
2008,60-64,Real Estate Services,700,800
2007,60-64,Real Estate Services,300,1000
2006,60-64,Real Estate Services,400,800
2005,60-64,Real Estate Services,300,600
2004,60-64,Real Estate Services,300,500
2003,60-64,Real Estate Services,400,300
2002,60-64,Real Estate Services,400,400
2001,60-64,Real Estate Services,300,600
2000,60-64,Real Estate Services,200,700
2021,65 and older,Real Estate Services,2200,3700
2020,65 and older,Real Estate Services,2000,2800
2019,65 and older,Real Estate Services,2200,2700
2018,65 and older,Real Estate Services,2200,2400
2017,65 and older,Real Estate Services,1500,2700
2016,65 and older,Real Estate Services,1600,2700
2015,65 and older,Real Estate Services,1800,2600
2014,65 and older,Real Estate Services,1300,2300
2013,65 and older,Real Estate Services,1000,1700
2012,65 and older,Real Estate Services,700,1600
2011,65 and older,Real Estate Services,300,1100
2010,65 and older,Real Estate Services,400,700
2009,65 and older,Real Estate Services,700,1200
2008,65 and older,Real Estate Services,300,500
2007,65 and older,Real Estate Services,400,700
2006,65 and older,Real Estate Services,400,600
2005,65 and older,Real Estate Services,200,500
2004,65 and older,Real Estate Services,100,400
2003,65 and older,Real Estate Services,200,600
2002,65 and older,Real Estate Services,200,500
2001,65 and older,Real Estate Services,0,200
2000,65 and older,Real Estate Services,100,600
2021,15-19,Professional Services,600,600
2020,15-19,Professional Services,400,500
2019,15-19,Professional Services,600,500
2018,15-19,Professional Services,600,300
2017,15-19,Professional Services,400,300
2016,15-19,Professional Services,500,500
2015,15-19,Professional Services,900,200
2014,15-19,Professional Services,700,200
2013,15-19,Professional Services,600,300
2012,15-19,Professional Services,700,300
2011,15-19,Professional Services,600,300
2010,15-19,Professional Services,700,300
2009,15-19,Professional Services,500,200
2008,15-19,Professional Services,600,100
2007,15-19,Professional Services,500,200
2006,15-19,Professional Services,500,200
2005,15-19,Professional Services,200,100
2004,15-19,Professional Services,200,200
2003,15-19,Professional Services,300,0
2002,15-19,Professional Services,300,100
2001,15-19,Professional Services,200,0
2000,15-19,Professional Services,400,0
2021,20-24,Professional Services,8700,3000
2020,20-24,Professional Services,6200,1300
2019,20-24,Professional Services,7400,2700
2018,20-24,Professional Services,7500,3100
2017,20-24,Professional Services,6400,3100
2016,20-24,Professional Services,8000,2400
2015,20-24,Professional Services,8700,2700
2014,20-24,Professional Services,6700,2500
2013,20-24,Professional Services,5700,3000
2012,20-24,Professional Services,7400,2600
2011,20-24,Professional Services,6800,2100
2010,20-24,Professional Services,6600,2500
2009,20-24,Professional Services,4800,2100
2008,20-24,Professional Services,7000,2800
2007,20-24,Professional Services,5800,1900
2006,20-24,Professional Services,6500,1700
2005,20-24,Professional Services,5300,1500
2004,20-24,Professional Services,4900,1100
2003,20-24,Professional Services,3700,800
2002,20-24,Professional Services,3700,800
2001,20-24,Professional Services,5400,1300
2000,20-24,Professional Services,5100,1400
2021,25-29,Professional Services,16300,12000
2020,25-29,Professional Services,13700,12200
2019,25-29,Professional Services,14000,11700
2018,25-29,Professional Services,13000,11600
2017,25-29,Professional Services,13100,11500
2016,25-29,Professional Services,13400,11500
2015,25-29,Professional Services,12700,10300
2014,25-29,Professional Services,12000,10000
2013,25-29,Professional Services,10400,8700
2012,25-29,Professional Services,9400,8900
2011,25-29,Professional Services,9200,7200
2010,25-29,Professional Services,10100,7700
2009,25-29,Professional Services,10600,9200
2008,25-29,Professional Services,9000,6600
2007,25-29,Professional Services,9200,6700
2006,25-29,Professional Services,10300,7000
2005,25-29,Professional Services,9100,7200
2004,25-29,Professional Services,6700,5900
2003,25-29,Professional Services,7800,5700
2002,25-29,Professional Services,8700,4700
2001,25-29,Professional Services,8500,5000
2000,25-29,Professional Services,8900,6400
2021,30-34,Professional Services,15900,13700
2020,30-34,Professional Services,13200,12900
2019,30-34,Professional Services,13700,11900
2018,30-34,Professional Services,11000,13000
2017,30-34,Professional Services,12500,10200
2016,30-34,Professional Services,11100,11700
2015,30-34,Professional Services,12000,12600
2014,30-34,Professional Services,11800,11500
2013,30-34,Professional Services,11600,9100
2012,30-34,Professional Services,10700,9600
2011,30-34,Professional Services,10500,9200
2010,30-34,Professional Services,8800,8500
2009,30-34,Professional Services,8300,9800
2008,30-34,Professional Services,9800,9500
2007,30-34,Professional Services,8900,8600
2006,30-34,Professional Services,8500,8700
2005,30-34,Professional Services,9400,8900
2004,30-34,Professional Services,6500,6600
2003,30-34,Professional Services,6600,5600
2002,30-34,Professional Services,5800,5600
2001,30-34,Professional Services,5600,5400
2000,30-34,Professional Services,6600,7000
2021,35-39,Professional Services,13400,14100
2020,35-39,Professional Services,11800,13000
2019,35-39,Professional Services,13100,12900
2018,35-39,Professional Services,11600,12900
2017,35-39,Professional Services,11200,11300
2016,35-39,Professional Services,10100,11300
2015,35-39,Professional Services,12300,12900
2014,35-39,Professional Services,9800,10800
2013,35-39,Professional Services,9600,11100
2012,35-39,Professional Services,10100,11800
2011,35-39,Professional Services,9800,10300
2010,35-39,Professional Services,8100,10200
2009,35-39,Professional Services,8100,10000
2008,35-39,Professional Services,8800,10000
2007,35-39,Professional Services,7000,8900
2006,35-39,Professional Services,7900,9600
2005,35-39,Professional Services,7000,8800
2004,35-39,Professional Services,4800,6200
2003,35-39,Professional Services,4800,6200
2002,35-39,Professional Services,4400,5500
2001,35-39,Professional Services,5100,4700
2000,35-39,Professional Services,5400,6800
2021,40-44,Professional Services,11600,13100
2020,40-44,Professional Services,11100,13500
2019,40-44,Professional Services,11000,12300
2018,40-44,Professional Services,10400,11000
2017,40-44,Professional Services,13100,14000
2016,40-44,Professional Services,10100,12300
2015,40-44,Professional Services,9900,12600
2014,40-44,Professional Services,10400,11000
2013,40-44,Professional Services,10600,11300
2012,40-44,Professional Services,8400,10600
2011,40-44,Professional Services,9000,11100
2010,40-44,Professional Services,5800,7700
2009,40-44,Professional Services,6100,9300
2008,40-44,Professional Services,6100,9100
2007,40-44,Professional Services,5800,8200
2006,40-44,Professional Services,6300,7800
2005,40-44,Professional Services,5700,8000
2004,40-44,Professional Services,4300,5900
2003,40-44,Professional Services,4300,5000
2002,40-44,Professional Services,4100,4100
2001,40-44,Professional Services,3100,4200
2000,40-44,Professional Services,4000,5300
2021,45-49,Professional Services,9200,12300
2020,45-49,Professional Services,10600,12100
2019,45-49,Professional Services,10100,13000
2018,45-49,Professional Services,9200,11100
2017,45-49,Professional Services,8300,13300
2016,45-49,Professional Services,9000,10300
2015,45-49,Professional Services,7700,10400
2014,45-49,Professional Services,6900,10800
2013,45-49,Professional Services,7700,11200
2012,45-49,Professional Services,6900,9300
2011,45-49,Professional Services,6700,9200
2010,45-49,Professional Services,5600,7700
2009,45-49,Professional Services,5200,7400
2008,45-49,Professional Services,4800,6500
2007,45-49,Professional Services,4900,5800
2006,45-49,Professional Services,4600,5800
2005,45-49,Professional Services,4100,6000
2004,45-49,Professional Services,4000,4100
2003,45-49,Professional Services,3000,3900
2002,45-49,Professional Services,2700,4100
2001,45-49,Professional Services,2600,3300
2000,45-49,Professional Services,2300,4000
2021,50-54,Professional Services,6300,9500
2020,50-54,Professional Services,6900,10400
2019,50-54,Professional Services,7500,9800
2018,50-54,Professional Services,7400,11100
2017,50-54,Professional Services,6800,9800
2016,50-54,Professional Services,7000,9700
2015,50-54,Professional Services,7100,9900
2014,50-54,Professional Services,5800,9300
2013,50-54,Professional Services,5100,8300
2012,50-54,Professional Services,5100,6700
2011,50-54,Professional Services,3900,5800
2010,50-54,Professional Services,4500,6100
2009,50-54,Professional Services,3600,5500
2008,50-54,Professional Services,4400,5500
2007,50-54,Professional Services,3300,4200
2006,50-54,Professional Services,2400,5000
2005,50-54,Professional Services,2400,4200
2004,50-54,Professional Services,1700,3800
2003,50-54,Professional Services,2000,2800
2002,50-54,Professional Services,1600,2100
2001,50-54,Professional Services,1300,2200
2000,50-54,Professional Services,1200,2700
2021,55-59,Professional Services,5600,9500
2020,55-59,Professional Services,5100,9300
2019,55-59,Professional Services,5400,8600
2018,55-59,Professional Services,5200,8300
2017,55-59,Professional Services,5200,6800
2016,55-59,Professional Services,4800,7000
2015,55-59,Professional Services,4000,7300
2014,55-59,Professional Services,4800,6200
2013,55-59,Professional Services,3000,5900
2012,55-59,Professional Services,3700,5400
2011,55-59,Professional Services,2800,4300
2010,55-59,Professional Services,2300,4200
2009,55-59,Professional Services,2000,2900
2008,55-59,Professional Services,1700,3900
2007,55-59,Professional Services,1500,2900
2006,55-59,Professional Services,1200,2500
2005,55-59,Professional Services,1000,2400
2004,55-59,Professional Services,900,1900
2003,55-59,Professional Services,500,1500
2002,55-59,Professional Services,500,1200
2001,55-59,Professional Services,500,1100
2000,55-59,Professional Services,300,1300
2021,60-64,Professional Services,4000,6900
2020,60-64,Professional Services,3100,5400
2019,60-64,Professional Services,2600,4900
2018,60-64,Professional Services,4100,4600
2017,60-64,Professional Services,2800,4600
2016,60-64,Professional Services,2700,4500
2015,60-64,Professional Services,2900,4700
2014,60-64,Professional Services,2700,4400
2013,60-64,Professional Services,1900,4200
2012,60-64,Professional Services,1100,3900
2011,60-64,Professional Services,700,2800
2010,60-64,Professional Services,1100,1800
2009,60-64,Professional Services,700,1600
2008,60-64,Professional Services,500,1300
2007,60-64,Professional Services,500,1000
2006,60-64,Professional Services,400,1300
2005,60-64,Professional Services,300,1200
2004,60-64,Professional Services,100,800
2003,60-64,Professional Services,100,1000
2002,60-64,Professional Services,200,1000
2001,60-64,Professional Services,100,1100
2000,60-64,Professional Services,200,800
2021,65 and older,Professional Services,4100,6200
2020,65 and older,Professional Services,2700,5900
2019,65 and older,Professional Services,2500,5400
2018,65 and older,Professional Services,2300,5300
2017,65 and older,Professional Services,2200,3900
2016,65 and older,Professional Services,1800,3300
2015,65 and older,Professional Services,1400,3400
2014,65 and older,Professional Services,1000,3700
2013,65 and older,Professional Services,1100,2400
2012,65 and older,Professional Services,900,1400
2011,65 and older,Professional Services,800,1900
2010,65 and older,Professional Services,500,1800
2009,65 and older,Professional Services,200,1400
2008,65 and older,Professional Services,400,1100
2007,65 and older,Professional Services,200,1200
2006,65 and older,Professional Services,100,1000
2005,65 and older,Professional Services,200,900
2004,65 and older,Professional Services,200,600
2003,65 and older,Professional Services,100,300
2002,65 and older,Professional Services,0,600
2001,65 and older,Professional Services,100,300
2000,65 and older,Professional Services,100,600
2021,15-19,Administrative & Support Services,400,100
2020,15-19,Administrative & Support Services,500,300
2019,15-19,Administrative & Support Services,400,300
2018,15-19,Administrative & Support Services,400,300
2017,15-19,Administrative & Support Services,400,200
2016,15-19,Administrative & Support Services,300,200
2015,15-19,Administrative & Support Services,400,300
2014,15-19,Administrative & Support Services,200,200
2013,15-19,Administrative & Support Services,400,200
2012,15-19,Administrative & Support Services,300,200
2011,15-19,Administrative & Support Services,500,400
2010,15-19,Administrative & Support Services,700,200
2009,15-19,Administrative & Support Services,500,200
2008,15-19,Administrative & Support Services,600,500
2007,15-19,Administrative & Support Services,600,300
2006,15-19,Administrative & Support Services,300,100
2005,15-19,Administrative & Support Services,400,200
2004,15-19,Administrative & Support Services,200,200
2003,15-19,Administrative & Support Services,300,200
2002,15-19,Administrative & Support Services,200,300
2001,15-19,Administrative & Support Services,200,200
2000,15-19,Administrative & Support Services,400,200
2021,20-24,Administrative & Support Services,2300,1600
2020,20-24,Administrative & Support Services,1900,2000
2019,20-24,Administrative & Support Services,3600,3100
2018,20-24,Administrative & Support Services,1600,2300
2017,20-24,Administrative & Support Services,2500,2600
2016,20-24,Administrative & Support Services,2500,2600
2015,20-24,Administrative & Support Services,2600,2700
2014,20-24,Administrative & Support Services,2200,2700
2013,20-24,Administrative & Support Services,3300,2100
2012,20-24,Administrative & Support Services,2400,2000
2011,20-24,Administrative & Support Services,2900,1900
2010,20-24,Administrative & Support Services,3000,2800
2009,20-24,Administrative & Support Services,3300,2200
2008,20-24,Administrative & Support Services,2800,2200
2007,20-24,Administrative & Support Services,2800,2200
2006,20-24,Administrative & Support Services,3000,2400
2005,20-24,Administrative & Support Services,2300,2500
2004,20-24,Administrative & Support Services,1700,1700
2003,20-24,Administrative & Support Services,1700,1900
2002,20-24,Administrative & Support Services,1900,1300
2001,20-24,Administrative & Support Services,2200,1300
2000,20-24,Administrative & Support Services,2000,1300
2021,25-29,Administrative & Support Services,3700,4500
2020,25-29,Administrative & Support Services,4600,5200
2019,25-29,Administrative & Support Services,3500,5400
2018,25-29,Administrative & Support Services,4200,5800
2017,25-29,Administrative & Support Services,4000,5000
2016,25-29,Administrative & Support Services,4000,5700
2015,25-29,Administrative & Support Services,4100,4000
2014,25-29,Administrative & Support Services,3100,4900
2013,25-29,Administrative & Support Services,3400,4600
2012,25-29,Administrative & Support Services,3400,4600
2011,25-29,Administrative & Support Services,3200,3900
2010,25-29,Administrative & Support Services,3700,3700
2009,25-29,Administrative & Support Services,3700,3600
2008,25-29,Administrative & Support Services,3500,4000
2007,25-29,Administrative & Support Services,3500,3600
2006,25-29,Administrative & Support Services,2800,3000
2005,25-29,Administrative & Support Services,3100,3300
2004,25-29,Administrative & Support Services,3600,3400
2003,25-29,Administrative & Support Services,3300,3400
2002,25-29,Administrative & Support Services,3200,3100
2001,25-29,Administrative & Support Services,3100,2800
2000,25-29,Administrative & Support Services,3100,3100
2021,30-34,Administrative & Support Services,5300,5800
2020,30-34,Administrative & Support Services,4700,5900
2019,30-34,Administrative & Support Services,4200,4600
2018,30-34,Administrative & Support Services,3800,5000
2017,30-34,Administrative & Support Services,4000,4500
2016,30-34,Administrative & Support Services,4000,5400
2015,30-34,Administrative & Support Services,4100,4900
2014,30-34,Administrative & Support Services,3800,5200
2013,30-34,Administrative & Support Services,3900,4400
2012,30-34,Administrative & Support Services,4400,4400
2011,30-34,Administrative & Support Services,3800,4300
2010,30-34,Administrative & Support Services,3500,4100
2009,30-34,Administrative & Support Services,4500,3700
2008,30-34,Administrative & Support Services,4400,3500
2007,30-34,Administrative & Support Services,3900,3800
2006,30-34,Administrative & Support Services,3800,3500
2005,30-34,Administrative & Support Services,3700,4300
2004,30-34,Administrative & Support Services,3700,4000
2003,30-34,Administrative & Support Services,3300,4200
2002,30-34,Administrative & Support Services,3200,4400
2001,30-34,Administrative & Support Services,3200,4500
2000,30-34,Administrative & Support Services,2700,3900
2021,35-39,Administrative & Support Services,3400,5700
2020,35-39,Administrative & Support Services,3800,5900
2019,35-39,Administrative & Support Services,5100,5200
2018,35-39,Administrative & Support Services,4100,6000
2017,35-39,Administrative & Support Services,4300,4900
2016,35-39,Administrative & Support Services,4400,6400
2015,35-39,Administrative & Support Services,4600,4700
2014,35-39,Administrative & Support Services,4000,4600
2013,35-39,Administrative & Support Services,4100,4300
2012,35-39,Administrative & Support Services,4500,5100
2011,35-39,Administrative & Support Services,3800,5400
2010,35-39,Administrative & Support Services,4300,4600
2009,35-39,Administrative & Support Services,4100,4500
2008,35-39,Administrative & Support Services,3800,4900
2007,35-39,Administrative & Support Services,3900,4800
2006,35-39,Administrative & Support Services,3500,4900
2005,35-39,Administrative & Support Services,3600,5200
2004,35-39,Administrative & Support Services,2700,4400
2003,35-39,Administrative & Support Services,2700,5200
2002,35-39,Administrative & Support Services,3100,4900
2001,35-39,Administrative & Support Services,2200,4500
2000,35-39,Administrative & Support Services,2500,4500
2021,40-44,Administrative & Support Services,3900,5500
2020,40-44,Administrative & Support Services,4500,6600
2019,40-44,Administrative & Support Services,4700,5000
2018,40-44,Administrative & Support Services,5500,5400
2017,40-44,Administrative & Support Services,4400,4600
2016,40-44,Administrative & Support Services,4700,4800
2015,40-44,Administrative & Support Services,4500,4800
2014,40-44,Administrative & Support Services,3800,4400
2013,40-44,Administrative & Support Services,3500,4700
2012,40-44,Administrative & Support Services,3900,5800
2011,40-44,Administrative & Support Services,4500,5400
2010,40-44,Administrative & Support Services,4300,5500
2009,40-44,Administrative & Support Services,4800,5700
2008,40-44,Administrative & Support Services,4400,5400
2007,40-44,Administrative & Support Services,4200,5500
2006,40-44,Administrative & Support Services,3200,5700
2005,40-44,Administrative & Support Services,3300,5800
2004,40-44,Administrative & Support Services,2700,5800
2003,40-44,Administrative & Support Services,3100,5400
2002,40-44,Administrative & Support Services,3100,5500
2001,40-44,Administrative & Support Services,2900,5100
2000,40-44,Administrative & Support Services,2600,5000
2021,45-49,Administrative & Support Services,4200,4100
2020,45-49,Administrative & Support Services,4700,6500
2019,45-49,Administrative & Support Services,6000,7000
2018,45-49,Administrative & Support Services,4600,6200
2017,45-49,Administrative & Support Services,6400,6500
2016,45-49,Administrative & Support Services,4200,6200
2015,45-49,Administrative & Support Services,5000,6600
2014,45-49,Administrative & Support Services,4600,5700
2013,45-49,Administrative & Support Services,4700,6500
2012,45-49,Administrative & Support Services,5500,5700
2011,45-49,Administrative & Support Services,5400,5900
2010,45-49,Administrative & Support Services,6400,7900
2009,45-49,Administrative & Support Services,4700,6700
2008,45-49,Administrative & Support Services,4700,6300
2007,45-49,Administrative & Support Services,4900,7000
2006,45-49,Administrative & Support Services,4700,6400
2005,45-49,Administrative & Support Services,3900,5700
2004,45-49,Administrative & Support Services,3700,5600
2003,45-49,Administrative & Support Services,3100,5400
2002,45-49,Administrative & Support Services,3200,4000
2001,45-49,Administrative & Support Services,2300,3300
2000,45-49,Administrative & Support Services,2300,4700
2021,50-54,Administrative & Support Services,4700,6500
2020,50-54,Administrative & Support Services,5900,7500
2019,50-54,Administrative & Support Services,5400,6700
2018,50-54,Administrative & Support Services,4700,7600
2017,50-54,Administrative & Support Services,5800,7100
2016,50-54,Administrative & Support Services,4700,7800
2015,50-54,Administrative & Support Services,5800,7800
2014,50-54,Administrative & Support Services,5900,6500
2013,50-54,Administrative & Support Services,5700,6300
2012,50-54,Administrative & Support Services,5900,6900
2011,50-54,Administrative & Support Services,5900,6200
2010,50-54,Administrative & Support Services,6000,6700
2009,50-54,Administrative & Support Services,4900,5700
2008,50-54,Administrative & Support Services,5400,6300
2007,50-54,Administrative & Support Services,4800,7400
2006,50-54,Administrative & Support Services,3200,7500
2005,50-54,Administrative & Support Services,3800,6200
2004,50-54,Administrative & Support Services,3400,6000
2003,50-54,Administrative & Support Services,3500,4400
2002,50-54,Administrative & Support Services,2600,4300
2001,50-54,Administrative & Support Services,3000,4200
2000,50-54,Administrative & Support Services,2100,4000
2021,55-59,Administrative & Support Services,6600,8000
2020,55-59,Administrative & Support Services,6800,10400
2019,55-59,Administrative & Support Services,6500,8500
2018,55-59,Administrative & Support Services,6200,7900
2017,55-59,Administrative & Support Services,6000,7200
2016,55-59,Administrative & Support Services,7500,9100
2015,55-59,Administrative & Support Services,5900,8400
2014,55-59,Administrative & Support Services,5500,7100
2013,55-59,Administrative & Support Services,4900,7900
2012,55-59,Administrative & Support Services,5700,7600
2011,55-59,Administrative & Support Services,5000,6700
2010,55-59,Administrative & Support Services,5800,7800
2009,55-59,Administrative & Support Services,4900,5500
2008,55-59,Administrative & Support Services,3900,6000
2007,55-59,Administrative & Support Services,4900,6600
2006,55-59,Administrative & Support Services,4200,5400
2005,55-59,Administrative & Support Services,2800,4700
2004,55-59,Administrative & Support Services,2900,4200
2003,55-59,Administrative & Support Services,2000,3100
2002,55-59,Administrative & Support Services,1800,3100
2001,55-59,Administrative & Support Services,2000,2100
2000,55-59,Administrative & Support Services,1200,2100
2021,60-64,Administrative & Support Services,6200,10400
2020,60-64,Administrative & Support Services,5600,9600
2019,60-64,Administrative & Support Services,5500,8600
2018,60-64,Administrative & Support Services,6300,8500
2017,60-64,Administrative & Support Services,6100,7000
2016,60-64,Administrative & Support Services,6100,8600
2015,60-64,Administrative & Support Services,4400,6900
2014,60-64,Administrative & Support Services,4400,7800
2013,60-64,Administrative & Support Services,4900,6000
2012,60-64,Administrative & Support Services,4100,6700
2011,60-64,Administrative & Support Services,3900,6600
2010,60-64,Administrative & Support Services,4000,5000
2009,60-64,Administrative & Support Services,2900,4800
2008,60-64,Administrative & Support Services,2500,4200
2007,60-64,Administrative & Support Services,2300,4500
2006,60-64,Administrative & Support Services,2000,3300
2005,60-64,Administrative & Support Services,1500,2500
2004,60-64,Administrative & Support Services,1700,2900
2003,60-64,Administrative & Support Services,1300,2700
2002,60-64,Administrative & Support Services,1600,2700
2001,60-64,Administrative & Support Services,1300,2500
2000,60-64,Administrative & Support Services,1000,1900
2021,65 and older,Administrative & Support Services,9500,17500
2020,65 and older,Administrative & Support Services,10000,15600
2019,65 and older,Administrative & Support Services,8300,12500
2018,65 and older,Administrative & Support Services,8000,13400
2017,65 and older,Administrative & Support Services,8200,13300
2016,65 and older,Administrative & Support Services,7100,9600
2015,65 and older,Administrative & Support Services,6900,9500
2014,65 and older,Administrative & Support Services,5000,10500
2013,65 and older,Administrative & Support Services,4700,8800
2012,65 and older,Administrative & Support Services,4500,8400
2011,65 and older,Administrative & Support Services,4100,7600
2010,65 and older,Administrative & Support Services,3000,7000
2009,65 and older,Administrative & Support Services,2400,5300
2008,65 and older,Administrative & Support Services,2500,5600
2007,65 and older,Administrative & Support Services,1900,4700
2006,65 and older,Administrative & Support Services,3000,4500
2005,65 and older,Administrative & Support Services,1800,3300
2004,65 and older,Administrative & Support Services,1700,2700
2003,65 and older,Administrative & Support Services,1400,3300
2002,65 and older,Administrative & Support Services,1100,3500
2001,65 and older,Administrative & Support Services,1300,3000
2000,65 and older,Administrative & Support Services,700,2400
2021,15-19,Public Administration & Education,900,9300
2020,15-19,Public Administration & Education,900,12300
2019,15-19,Public Administration & Education,1000,14400
2018,15-19,Public Administration & Education,900,15500
2017,15-19,Public Administration & Education,1000,15800
2016,15-19,Public Administration & Education,1200,16300
2015,15-19,Public Administration & Education,1800,15900
2014,15-19,Public Administration & Education,1000,12300
2013,15-19,Public Administration & Education,1200,11500
2012,15-19,Public Administration & Education,2000,12100
2011,15-19,Public Administration & Education,1200,13700
2010,15-19,Public Administration & Education,1900,16100
2009,15-19,Public Administration & Education,1300,12100
2008,15-19,Public Administration & Education,2000,12300
2007,15-19,Public Administration & Education,1100,14400
2006,15-19,Public Administration & Education,1100,9700
2005,15-19,Public Administration & Education,500,10100
2004,15-19,Public Administration & Education,800,9400
2003,15-19,Public Administration & Education,1200,9600
2002,15-19,Public Administration & Education,1100,8700
2001,15-19,Public Administration & Education,1300,12700
2000,15-19,Public Administration & Education,1300,12500
2021,20-24,Public Administration & Education,8100,34200
2020,20-24,Public Administration & Education,6900,34700
2019,20-24,Public Administration & Education,8700,36700
2018,20-24,Public Administration & Education,8800,39200
2017,20-24,Public Administration & Education,7900,40300
2016,20-24,Public Administration & Education,9100,44600
2015,20-24,Public Administration & Education,12100,42000
2014,20-24,Public Administration & Education,11000,46300
2013,20-24,Public Administration & Education,9300,47000
2012,20-24,Public Administration & Education,11800,48400
2011,20-24,Public Administration & Education,10300,46000
2010,20-24,Public Administration & Education,12100,42300
2009,20-24,Public Administration & Education,8700,41000
2008,20-24,Public Administration & Education,7700,38400
2007,20-24,Public Administration & Education,7800,35700
2006,20-24,Public Administration & Education,9500,43800
2005,20-24,Public Administration & Education,7400,32600
2004,20-24,Public Administration & Education,8300,44900
2003,20-24,Public Administration & Education,8900,45800
2002,20-24,Public Administration & Education,8800,43500
2001,20-24,Public Administration & Education,8300,42400
2000,20-24,Public Administration & Education,8100,34000
2021,25-29,Public Administration & Education,16300,18800
2020,25-29,Public Administration & Education,16900,17600
2019,25-29,Public Administration & Education,17700,17800
2018,25-29,Public Administration & Education,18700,17900
2017,25-29,Public Administration & Education,20100,18900
2016,25-29,Public Administration & Education,20200,18400
2015,25-29,Public Administration & Education,18100,17400
2014,25-29,Public Administration & Education,17500,15300
2013,25-29,Public Administration & Education,18600,16700
2012,25-29,Public Administration & Education,17500,16200
2011,25-29,Public Administration & Education,16100,18000
2010,25-29,Public Administration & Education,17600,16900
2009,25-29,Public Administration & Education,16000,15400
2008,25-29,Public Administration & Education,16300,16400
2007,25-29,Public Administration & Education,15700,16300
