year,industry,numberOfWorkers,sex,age
2016,"Other Community, Social & Personal Services",2200,male,25 - 29
2015,"Other Community, Social & Personal Services",2000,male,25 - 29
2014,"Other Community, Social & Personal Services",1500,male,25 - 29
2013,"Other Community, Social & Personal Services",1800,male,25 - 29
2012,"Other Community, Social & Personal Services",1500,male,25 - 29
2011,"Other Community, Social & Personal Services",2200,male,25 - 29
2010,"Other Community, Social & Personal Services",1500,male,25 - 29
2009,"Other Community, Social & Personal Services",2400,male,25 - 29
2008,"Other Community, Social & Personal Services",2400,male,25 - 29
2007,"Other Community, Social & Personal Services",2400,male,25 - 29
2006,"Other Community, Social & Personal Services",2100,male,25 - 29
2005,"Other Community, Social & Personal Services",2300,male,25 - 29
2004,"Other Community, Social & Personal Services",2000,male,25 - 29
2003,"Other Community, Social & Personal Services",2100,male,25 - 29
2002,"Other Community, Social & Personal Services",2500,male,25 - 29
2001,"Other Community, Social & Personal Services",2300,male,25 - 29
2000,"Other Community, Social & Personal Services",2500,male,25 - 29
2021,Manufacturing,2600,female,20 - 24
2020,Manufacturing,3000,female,20 - 24
2019,Manufacturing,2800,female,20 - 24
2018,Manufacturing,3100,female,20 - 24
2017,Manufacturing,2500,female,20 - 24
2016,Manufacturing,2300,female,20 - 24
2015,Manufacturing,3200,female,20 - 24
2014,Manufacturing,3100,female,20 - 24
2013,Manufacturing,3900,female,20 - 24
2012,Manufacturing,3500,female,20 - 24
2011,Manufacturing,3900,female,20 - 24
2010,Manufacturing,4200,female,20 - 24
2009,Manufacturing,4000,female,20 - 24
2008,Manufacturing,5300,female,20 - 24
2007,Manufacturing,5600,female,20 - 24
2006,Manufacturing,5100,female,20 - 24
2005,Manufacturing,5900,female,20 - 24
2004,Manufacturing,6400,female,20 - 24
2003,Manufacturing,6400,female,20 - 24
2002,Manufacturing,6900,female,20 - 24
2001,Manufacturing,8200,female,20 - 24
2000,Manufacturing,8100,female,20 - 24
2021,Construction,1100,female,20 - 24
2020,Construction,1200,female,20 - 24
2019,Construction,700,female,20 - 24
2018,Construction,900,female,20 - 24
2017,Construction,1300,female,20 - 24
2016,Construction,800,female,20 - 24
2015,Construction,1400,female,20 - 24
2014,Construction,1100,female,20 - 24
2013,Construction,900,female,20 - 24
2012,Construction,1500,female,20 - 24
2011,Construction,1100,female,20 - 24
2010,Construction,1000,female,20 - 24
2009,Construction,1100,female,20 - 24
2008,Construction,1100,female,20 - 24
2007,Construction,1000,female,20 - 24
2006,Construction,1100,female,20 - 24
2005,Construction,500,female,20 - 24
2004,Construction,900,female,20 - 24
2003,Construction,1400,female,20 - 24
2002,Construction,900,female,20 - 24
2001,Construction,1200,female,20 - 24
2000,Construction,1500,female,20 - 24
2021,Wholesale & Retail Trade,7700,female,20 - 24
2020,Wholesale & Retail Trade,8200,female,20 - 24
2019,Wholesale & Retail Trade,8000,female,20 - 24
2018,Wholesale & Retail Trade,9800,female,20 - 24
2017,Wholesale & Retail Trade,10200,female,20 - 24
2016,Wholesale & Retail Trade,11600,female,20 - 24
2015,Wholesale & Retail Trade,10100,female,20 - 24
2014,Wholesale & Retail Trade,10200,female,20 - 24
2013,Wholesale & Retail Trade,10100,female,20 - 24
2012,Wholesale & Retail Trade,10600,female,20 - 24
2011,Wholesale & Retail Trade,10700,female,20 - 24
2010,Wholesale & Retail Trade,10000,female,20 - 24
2009,Wholesale & Retail Trade,7600,female,20 - 24
2008,Wholesale & Retail Trade,10000,female,20 - 24
2007,Wholesale & Retail Trade,9900,female,20 - 24
2006,Wholesale & Retail Trade,10700,female,20 - 24
2005,Wholesale & Retail Trade,11300,female,20 - 24
2004,Wholesale & Retail Trade,10100,female,20 - 24
2003,Wholesale & Retail Trade,10200,female,20 - 24
2002,Wholesale & Retail Trade,9000,female,20 - 24
2001,Wholesale & Retail Trade,9400,female,20 - 24
2000,Wholesale & Retail Trade,10400,female,20 - 24
2021,Transportation & Storage,2400,female,20 - 24
2020,Transportation & Storage,4000,female,20 - 24
2019,Transportation & Storage,3300,female,20 - 24
2018,Transportation & Storage,3900,female,20 - 24
2017,Transportation & Storage,3200,female,20 - 24
2016,Transportation & Storage,4300,female,20 - 24
2015,Transportation & Storage,4000,female,20 - 24
2014,Transportation & Storage,3800,female,20 - 24
2013,Transportation & Storage,4500,female,20 - 24
2012,Transportation & Storage,4200,female,20 - 24
2011,Transportation & Storage,4700,female,20 - 24
2010,Transportation & Storage,3500,female,20 - 24
2009,Transportation & Storage,3800,female,20 - 24
2008,Transportation & Storage,3900,female,20 - 24
2007,Transportation & Storage,4100,female,20 - 24
2006,Transportation & Storage,3800,female,20 - 24
2005,Transportation & Storage,4300,female,20 - 24
2004,Transportation & Storage,4000,female,20 - 24
2003,Transportation & Storage,4600,female,20 - 24
2002,Transportation & Storage,3900,female,20 - 24
2001,Transportation & Storage,5000,female,20 - 24
2000,Transportation & Storage,4200,female,20 - 24
2021,Accommodation & Food Services,4500,female,20 - 24
2020,Accommodation & Food Services,4300,female,20 - 24
2019,Accommodation & Food Services,5700,female,20 - 24
2018,Accommodation & Food Services,5400,female,20 - 24
2017,Accommodation & Food Services,4600,female,20 - 24
2016,Accommodation & Food Services,5100,female,20 - 24
2015,Accommodation & Food Services,4700,female,20 - 24
2014,Accommodation & Food Services,5000,female,20 - 24
2013,Accommodation & Food Services,4400,female,20 - 24
2012,Accommodation & Food Services,4800,female,20 - 24
2011,Accommodation & Food Services,5700,female,20 - 24
2010,Accommodation & Food Services,4400,female,20 - 24
2009,Accommodation & Food Services,4400,female,20 - 24
2008,Accommodation & Food Services,3700,female,20 - 24
2007,Accommodation & Food Services,4000,female,20 - 24
2006,Accommodation & Food Services,4000,female,20 - 24
2005,Accommodation & Food Services,3000,female,20 - 24
2004,Accommodation & Food Services,3200,female,20 - 24
2003,Accommodation & Food Services,3700,female,20 - 24
2002,Accommodation & Food Services,2800,female,20 - 24
2001,Accommodation & Food Services,3300,female,20 - 24
2000,Accommodation & Food Services,2700,female,20 - 24
2021,Information & Communications,4800,female,20 - 24
2020,Information & Communications,3800,female,20 - 24
2019,Information & Communications,3800,female,20 - 24
2018,Information & Communications,3300,female,20 - 24
2017,Information & Communications,2800,female,20 - 24
2016,Information & Communications,3300,female,20 - 24
2015,Information & Communications,3700,female,20 - 24
2014,Information & Communications,3300,female,20 - 24
2013,Information & Communications,3200,female,20 - 24
2012,Information & Communications,3300,female,20 - 24
2011,Information & Communications,3200,female,20 - 24
2010,Information & Communications,3400,female,20 - 24
2009,Information & Communications,3100,female,20 - 24
2008,Information & Communications,4000,female,20 - 24
2007,Information & Communications,3700,female,20 - 24
2006,Information & Communications,3800,female,20 - 24
2005,Information & Communications,3200,female,20 - 24
2004,Information & Communications,3500,female,20 - 24
2003,Information & Communications,3500,female,20 - 24
2002,Information & Communications,3300,female,20 - 24
2001,Information & Communications,5300,female,20 - 24
2000,Information & Communications,4200,female,20 - 24
2021,Financial & Insurance Services,5200,female,20 - 24
2020,Financial & Insurance Services,4600,female,20 - 24
2019,Financial & Insurance Services,5100,female,20 - 24
2018,Financial & Insurance Services,6900,female,20 - 24
2017,Financial & Insurance Services,5200,female,20 - 24
2016,Financial & Insurance Services,7300,female,20 - 24
2015,Financial & Insurance Services,6500,female,20 - 24
2014,Financial & Insurance Services,5900,female,20 - 24
2013,Financial & Insurance Services,5000,female,20 - 24
2012,Financial & Insurance Services,7400,female,20 - 24
2011,Financial & Insurance Services,6700,female,20 - 24
2010,Financial & Insurance Services,5200,female,20 - 24
2009,Financial & Insurance Services,5600,female,20 - 24
2008,Financial & Insurance Services,7200,female,20 - 24
2007,Financial & Insurance Services,6300,female,20 - 24
2006,Financial & Insurance Services,6400,female,20 - 24
2005,Financial & Insurance Services,5800,female,20 - 24
2004,Financial & Insurance Services,5500,female,20 - 24
2003,Financial & Insurance Services,4300,female,20 - 24
2002,Financial & Insurance Services,4600,female,20 - 24
2001,Financial & Insurance Services,5600,female,20 - 24
2000,Financial & Insurance Services,6500,female,20 - 24
2021,Real Estate Services,900,female,20 - 24
2020,Real Estate Services,700,female,20 - 24
2019,Real Estate Services,700,female,20 - 24
2018,Real Estate Services,900,female,20 - 24
2017,Real Estate Services,1300,female,20 - 24
2016,Real Estate Services,1100,female,20 - 24
2015,Real Estate Services,1300,female,20 - 24
2014,Real Estate Services,900,female,20 - 24
2013,Real Estate Services,1400,female,20 - 24
2012,Real Estate Services,1200,female,20 - 24
2011,Real Estate Services,1200,female,20 - 24
2010,Real Estate Services,1400,female,20 - 24
2009,Real Estate Services,1000,female,20 - 24
2008,Real Estate Services,1300,female,20 - 24
2007,Real Estate Services,1000,female,20 - 24
2006,Real Estate Services,1200,female,20 - 24
2005,Real Estate Services,1000,female,20 - 24
2004,Real Estate Services,800,female,20 - 24
2003,Real Estate Services,1200,female,20 - 24
2002,Real Estate Services,1200,female,20 - 24
2001,Real Estate Services,1400,female,20 - 24
2000,Real Estate Services,1900,female,20 - 24
2021,Professional Services,8700,female,20 - 24
2020,Professional Services,6200,female,20 - 24
2019,Professional Services,7400,female,20 - 24
2018,Professional Services,7500,female,20 - 24
2017,Professional Services,6400,female,20 - 24
2016,Professional Services,8000,female,20 - 24
2015,Professional Services,8700,female,20 - 24
2014,Professional Services,6700,female,20 - 24
2013,Professional Services,5700,female,20 - 24
2012,Professional Services,7400,female,20 - 24
2011,Professional Services,6800,female,20 - 24
2010,Professional Services,6600,female,20 - 24
2009,Professional Services,4800,female,20 - 24
2008,Professional Services,7000,female,20 - 24
2007,Professional Services,5800,female,20 - 24
2006,Professional Services,6500,female,20 - 24
2005,Professional Services,5300,female,20 - 24
2004,Professional Services,4900,female,20 - 24
2003,Professional Services,3700,female,20 - 24
2002,Professional Services,3700,female,20 - 24
2001,Professional Services,5400,female,20 - 24
2000,Professional Services,5100,female,20 - 24
2021,Administrative & Support Services,2300,female,20 - 24
2020,Administrative & Support Services,1900,female,20 - 24
2019,Administrative & Support Services,3600,female,20 - 24
2018,Administrative & Support Services,1600,female,20 - 24
2017,Administrative & Support Services,2500,female,20 - 24
2016,Administrative & Support Services,2500,female,20 - 24
2015,Administrative & Support Services,2600,female,20 - 24
2014,Administrative & Support Services,2200,female,20 - 24
2013,Administrative & Support Services,3300,female,20 - 24
2012,Administrative & Support Services,2400,female,20 - 24
2011,Administrative & Support Services,2900,female,20 - 24
2010,Administrative & Support Services,3000,female,20 - 24
2009,Administrative & Support Services,3300,female,20 - 24
2008,Administrative & Support Services,2800,female,20 - 24
2007,Administrative & Support Services,2800,female,20 - 24
2006,Administrative & Support Services,3000,female,20 - 24
2005,Administrative & Support Services,2300,female,20 - 24
2004,Administrative & Support Services,1700,female,20 - 24
2003,Administrative & Support Services,1700,female,20 - 24
2002,Administrative & Support Services,1900,female,20 - 24
2001,Administrative & Support Services,2200,female,20 - 24
2000,Administrative & Support Services,2000,female,20 - 24
2021,Public Administration & Education,8100,female,20 - 24
2020,Public Administration & Education,6900,female,20 - 24
2019,Public Administration & Education,8700,female,20 - 24
2018,Public Administration & Education,8800,female,20 - 24
2017,Public Administration & Education,7900,female,20 - 24
2016,Public Administration & Education,9100,female,20 - 24
2015,Public Administration & Education,12100,female,20 - 24
2014,Public Administration & Education,11000,female,20 - 24
2013,Public Administration & Education,9300,female,20 - 24
2012,Public Administration & Education,11800,female,20 - 24
2011,Public Administration & Education,10300,female,20 - 24
2010,Public Administration & Education,12100,female,20 - 24
2009,Public Administration & Education,8700,female,20 - 24
2008,Public Administration & Education,7700,female,20 - 24
2007,Public Administration & Education,7800,female,20 - 24
2006,Public Administration & Education,9500,female,20 - 24
2005,Public Administration & Education,7400,female,20 - 24
2004,Public Administration & Education,8300,female,20 - 24
2003,Public Administration & Education,8900,female,20 - 24
2002,Public Administration & Education,8800,female,20 - 24
2001,Public Administration & Education,8300,female,20 - 24
2000,Public Administration & Education,8100,female,20 - 24
2021,Health & Social Services,9300,female,20 - 24
2020,Health & Social Services,7700,female,20 - 24
2019,Health & Social Services,9300,female,20 - 24
2018,Health & Social Services,8300,female,20 - 24
2017,Health & Social Services,9900,female,20 - 24
2016,Health & Social Services,8300,female,20 - 24
2015,Health & Social Services,8600,female,20 - 24
2014,Health & Social Services,9300,female,20 - 24
2013,Health & Social Services,6700,female,20 - 24
2012,Health & Social Services,8400,female,20 - 24
2011,Health & Social Services,8700,female,20 - 24
2010,Health & Social Services,7200,female,20 - 24
2009,Health & Social Services,6100,female,20 - 24
2008,Health & Social Services,6000,female,20 - 24
2007,Health & Social Services,5700,female,20 - 24
2006,Health & Social Services,6100,female,20 - 24
2005,Health & Social Services,4200,female,20 - 24
2004,Health & Social Services,5700,female,20 - 24
2003,Health & Social Services,3900,female,20 - 24
2002,Health & Social Services,2800,female,20 - 24
2001,Health & Social Services,3800,female,20 - 24
2000,Health & Social Services,3400,female,20 - 24
2021,"Arts, Entertainment & Recreation",1200,female,20 - 24
2020,"Arts, Entertainment & Recreation",1000,female,20 - 24
2019,"Arts, Entertainment & Recreation",1200,female,20 - 24
2018,"Arts, Entertainment & Recreation",2200,female,20 - 24
2017,"Arts, Entertainment & Recreation",1800,female,20 - 24
2016,"Arts, Entertainment & Recreation",2400,female,20 - 24
2015,"Arts, Entertainment & Recreation",2500,female,20 - 24
2014,"Arts, Entertainment & Recreation",3000,female,20 - 24
2013,"Arts, Entertainment & Recreation",2200,female,20 - 24
2012,"Arts, Entertainment & Recreation",2700,female,20 - 24
2011,"Arts, Entertainment & Recreation",2100,female,20 - 24
2010,"Arts, Entertainment & Recreation",2100,female,20 - 24
2009,"Arts, Entertainment & Recreation",1100,female,20 - 24
2008,"Arts, Entertainment & Recreation",900,female,20 - 24
2007,"Arts, Entertainment & Recreation",900,female,20 - 24
2006,"Arts, Entertainment & Recreation",900,female,20 - 24
2005,"Arts, Entertainment & Recreation",700,female,20 - 24
2004,"Arts, Entertainment & Recreation",400,female,20 - 24
2003,"Arts, Entertainment & Recreation",500,female,20 - 24
2002,"Arts, Entertainment & Recreation",600,female,20 - 24
2001,"Arts, Entertainment & Recreation",700,female,20 - 24
2000,"Arts, Entertainment & Recreation",900,female,20 - 24
2021,"Other Community, Social & Personal Services",1700,female,20 - 24
2020,"Other Community, Social & Personal Services",1800,female,20 - 24
2019,"Other Community, Social & Personal Services",1600,female,20 - 24
2018,"Other Community, Social & Personal Services",2100,female,20 - 24
2017,"Other Community, Social & Personal Services",1900,female,20 - 24
2016,"Other Community, Social & Personal Services",2100,female,20 - 24
2015,"Other Community, Social & Personal Services",2900,female,20 - 24
2014,"Other Community, Social & Personal Services",1500,female,20 - 24
2013,"Other Community, Social & Personal Services",1700,female,20 - 24
2012,"Other Community, Social & Personal Services",1600,female,20 - 24
2011,"Other Community, Social & Personal Services",1900,female,20 - 24
2010,"Other Community, Social & Personal Services",1500,female,20 - 24
2009,"Other Community, Social & Personal Services",2400,female,20 - 24
2008,"Other Community, Social & Personal Services",1800,female,20 - 24
2007,"Other Community, Social & Personal Services",1400,female,20 - 24
2006,"Other Community, Social & Personal Services",2300,female,20 - 24
2005,"Other Community, Social & Personal Services",1700,female,20 - 24
2004,"Other Community, Social & Personal Services",1500,female,20 - 24
2003,"Other Community, Social & Personal Services",1000,female,20 - 24
2002,"Other Community, Social & Personal Services",1500,female,20 - 24
2001,"Other Community, Social & Personal Services",1000,female,20 - 24
2000,"Other Community, Social & Personal Services",1300,female,20 - 24
2021,Manufacturing,4900,female,25 - 29
2020,Manufacturing,6000,female,25 - 29
2019,Manufacturing,5500,female,25 - 29
2018,Manufacturing,6000,female,25 - 29
2017,Manufacturing,5200,female,25 - 29
2016,Manufacturing,7200,female,25 - 29
2015,Manufacturing,5200,female,25 - 29
2014,Manufacturing,6500,female,25 - 29
2013,Manufacturing,8300,female,25 - 29
2012,Manufacturing,9700,female,25 - 29
2011,Manufacturing,9200,female,25 - 29
2010,Manufacturing,10400,female,25 - 29
2009,Manufacturing,10700,female,25 - 29
2008,Manufacturing,13100,female,25 - 29
2007,Manufacturing,15100,female,25 - 29
2006,Manufacturing,12100,female,25 - 29
2005,Manufacturing,14100,female,25 - 29
2004,Manufacturing,14800,female,25 - 29
2003,Manufacturing,17300,female,25 - 29
2002,Manufacturing,15800,female,25 - 29
2001,Manufacturing,18300,female,25 - 29
2000,Manufacturing,17500,female,25 - 29
2021,Construction,1800,female,25 - 29
2020,Construction,2400,female,25 - 29
2019,Construction,1800,female,25 - 29
2018,Construction,2000,female,25 - 29
2017,Construction,2000,female,25 - 29
2016,Construction,2300,female,25 - 29
2015,Construction,1900,female,25 - 29
2014,Construction,2700,female,25 - 29
2013,Construction,1600,female,25 - 29
2012,Construction,2000,female,25 - 29
2011,Construction,1800,female,25 - 29
2010,Construction,2900,female,25 - 29
2009,Construction,2300,female,25 - 29
2008,Construction,1700,female,25 - 29
2007,Construction,1700,female,25 - 29
2006,Construction,1900,female,25 - 29
2005,Construction,1700,female,25 - 29
2004,Construction,1700,female,25 - 29
2003,Construction,2900,female,25 - 29
2002,Construction,2800,female,25 - 29
2001,Construction,3200,female,25 - 29
2000,Construction,2900,female,25 - 29
2021,Wholesale & Retail Trade,13700,female,25 - 29
2020,Wholesale & Retail Trade,14000,female,25 - 29
2019,Wholesale & Retail Trade,13400,female,25 - 29
2018,Wholesale & Retail Trade,14700,female,25 - 29
2017,Wholesale & Retail Trade,14100,female,25 - 29
2016,Wholesale & Retail Trade,14600,female,25 - 29
2015,Wholesale & Retail Trade,14600,female,25 - 29
2014,Wholesale & Retail Trade,14600,female,25 - 29
2013,Wholesale & Retail Trade,12800,female,25 - 29
2012,Wholesale & Retail Trade,11300,female,25 - 29
2011,Wholesale & Retail Trade,13300,female,25 - 29
2010,Wholesale & Retail Trade,12500,female,25 - 29
2009,Wholesale & Retail Trade,11900,female,25 - 29
2008,Wholesale & Retail Trade,11600,female,25 - 29
2007,Wholesale & Retail Trade,14100,female,25 - 29
2006,Wholesale & Retail Trade,15000,female,25 - 29
2005,Wholesale & Retail Trade,17900,female,25 - 29
2004,Wholesale & Retail Trade,14400,female,25 - 29
2003,Wholesale & Retail Trade,13900,female,25 - 29
2002,Wholesale & Retail Trade,14700,female,25 - 29
2001,Wholesale & Retail Trade,14800,female,25 - 29
2000,Wholesale & Retail Trade,17200,female,25 - 29
2021,Transportation & Storage,5600,female,25 - 29
2020,Transportation & Storage,5400,female,25 - 29
2019,Transportation & Storage,5700,female,25 - 29
2018,Transportation & Storage,5800,female,25 - 29
2017,Transportation & Storage,4600,female,25 - 29
2016,Transportation & Storage,5200,female,25 - 29
2015,Transportation & Storage,5000,female,25 - 29
2014,Transportation & Storage,5500,female,25 - 29
2013,Transportation & Storage,6900,female,25 - 29
2012,Transportation & Storage,6000,female,25 - 29
2011,Transportation & Storage,6400,female,25 - 29
2010,Transportation & Storage,7000,female,25 - 29
2009,Transportation & Storage,6400,female,25 - 29
2008,Transportation & Storage,6800,female,25 - 29
2007,Transportation & Storage,6600,female,25 - 29
2006,Transportation & Storage,7000,female,25 - 29
2005,Transportation & Storage,6400,female,25 - 29
2004,Transportation & Storage,6500,female,25 - 29
2003,Transportation & Storage,6100,female,25 - 29
2002,Transportation & Storage,7400,female,25 - 29
2001,Transportation & Storage,8600,female,25 - 29
2000,Transportation & Storage,7100,female,25 - 29
2021,Accommodation & Food Services,3500,female,25 - 29
2020,Accommodation & Food Services,4800,female,25 - 29
2019,Accommodation & Food Services,3300,female,25 - 29
2018,Accommodation & Food Services,4900,female,25 - 29
2017,Accommodation & Food Services,3500,female,25 - 29
2016,Accommodation & Food Services,4900,female,25 - 29
2015,Accommodation & Food Services,4800,female,25 - 29
2014,Accommodation & Food Services,4200,female,25 - 29
2013,Accommodation & Food Services,4600,female,25 - 29
2012,Accommodation & Food Services,3800,female,25 - 29
2011,Accommodation & Food Services,4400,female,25 - 29
2010,Accommodation & Food Services,3300,female,25 - 29
2009,Accommodation & Food Services,3800,female,25 - 29
2008,Accommodation & Food Services,3400,female,25 - 29
2007,Accommodation & Food Services,3900,female,25 - 29
2006,Accommodation & Food Services,3700,female,25 - 29
2005,Accommodation & Food Services,3500,female,25 - 29
2004,Accommodation & Food Services,3200,female,25 - 29
2003,Accommodation & Food Services,3800,female,25 - 29
2002,Accommodation & Food Services,2800,female,25 - 29
2001,Accommodation & Food Services,3500,female,25 - 29
2000,Accommodation & Food Services,3000,female,25 - 29
2021,Information & Communications,9000,female,25 - 29
2020,Information & Communications,8500,female,25 - 29
2019,Information & Communications,6900,female,25 - 29
2018,Information & Communications,5800,female,25 - 29
2017,Information & Communications,5000,female,25 - 29
2016,Information & Communications,5900,female,25 - 29
2015,Information & Communications,4600,female,25 - 29
2014,Information & Communications,5500,female,25 - 29
2013,Information & Communications,4400,female,25 - 29
2012,Information & Communications,5000,female,25 - 29
2011,Information & Communications,6100,female,25 - 29
2010,Information & Communications,6900,female,25 - 29
2009,Information & Communications,7600,female,25 - 29
2008,Information & Communications,6400,female,25 - 29
2007,Information & Communications,7500,female,25 - 29
2006,Information & Communications,6100,female,25 - 29
2005,Information & Communications,6500,female,25 - 29
2004,Information & Communications,6000,female,25 - 29
2003,Information & Communications,7200,female,25 - 29
2002,Information & Communications,6800,female,25 - 29
2001,Information & Communications,9000,female,25 - 29
2000,Information & Communications,6600,female,25 - 29
2021,Financial & Insurance Services,14200,female,25 - 29
2020,Financial & Insurance Services,15400,female,25 - 29
2019,Financial & Insurance Services,15100,female,25 - 29
2018,Financial & Insurance Services,13500,female,25 - 29
2017,Financial & Insurance Services,15200,female,25 - 29
2016,Financial & Insurance Services,14300,female,25 - 29
2015,Financial & Insurance Services,13100,female,25 - 29
2014,Financial & Insurance Services,11000,female,25 - 29
2013,Financial & Insurance Services,12900,female,25 - 29
2012,Financial & Insurance Services,13200,female,25 - 29
2011,Financial & Insurance Services,14200,female,25 - 29
2010,Financial & Insurance Services,12500,female,25 - 29
2009,Financial & Insurance Services,12500,female,25 - 29
2008,Financial & Insurance Services,12500,female,25 - 29
2007,Financial & Insurance Services,10800,female,25 - 29
2006,Financial & Insurance Services,11300,female,25 - 29
2005,Financial & Insurance Services,10800,female,25 - 29
2004,Financial & Insurance Services,10600,female,25 - 29
2003,Financial & Insurance Services,10300,female,25 - 29
2002,Financial & Insurance Services,12000,female,25 - 29
2001,Financial & Insurance Services,11400,female,25 - 29
2000,Financial & Insurance Services,13300,female,25 - 29
2021,Real Estate Services,2200,female,25 - 29
2020,Real Estate Services,2600,female,25 - 29
2019,Real Estate Services,1600,female,25 - 29
2018,Real Estate Services,2400,female,25 - 29
2017,Real Estate Services,2400,female,25 - 29
2016,Real Estate Services,2500,female,25 - 29
2015,Real Estate Services,2700,female,25 - 29
2014,Real Estate Services,2800,female,25 - 29
2013,Real Estate Services,1600,female,25 - 29
2012,Real Estate Services,3200,female,25 - 29
2011,Real Estate Services,2400,female,25 - 29
2010,Real Estate Services,2200,female,25 - 29
2009,Real Estate Services,2700,female,25 - 29
2008,Real Estate Services,2100,female,25 - 29
2007,Real Estate Services,2200,female,25 - 29
2006,Real Estate Services,2300,female,25 - 29
2005,Real Estate Services,2500,female,25 - 29
2004,Real Estate Services,2900,female,25 - 29
2003,Real Estate Services,2600,female,25 - 29
2002,Real Estate Services,2900,female,25 - 29
2001,Real Estate Services,3000,female,25 - 29
2000,Real Estate Services,3000,female,25 - 29
2021,Professional Services,16300,female,25 - 29
2020,Professional Services,13700,female,25 - 29
2019,Professional Services,14000,female,25 - 29
2018,Professional Services,13000,female,25 - 29
2017,Professional Services,13100,female,25 - 29
2016,Professional Services,13400,female,25 - 29
2015,Professional Services,12700,female,25 - 29
2014,Professional Services,12000,female,25 - 29
2013,Professional Services,10400,female,25 - 29
2012,Professional Services,9400,female,25 - 29
2011,Professional Services,9200,female,25 - 29
2010,Professional Services,10100,female,25 - 29
2009,Professional Services,10600,female,25 - 29
2008,Professional Services,9000,female,25 - 29
2007,Professional Services,9200,female,25 - 29
2006,Professional Services,10300,female,25 - 29
2005,Professional Services,9100,female,25 - 29
2004,Professional Services,6700,female,25 - 29
2003,Professional Services,7800,female,25 - 29
2002,Professional Services,8700,female,25 - 29
2001,Professional Services,8500,female,25 - 29
2000,Professional Services,8900,female,25 - 29
2021,Administrative & Support Services,3700,female,25 - 29
2020,Administrative & Support Services,4600,female,25 - 29
2019,Administrative & Support Services,3500,female,25 - 29
2018,Administrative & Support Services,4200,female,25 - 29
2017,Administrative & Support Services,4000,female,25 - 29
2016,Administrative & Support Services,4000,female,25 - 29
2015,Administrative & Support Services,4100,female,25 - 29
2014,Administrative & Support Services,3100,female,25 - 29
2013,Administrative & Support Services,3400,female,25 - 29
2012,Administrative & Support Services,3400,female,25 - 29
2011,Administrative & Support Services,3200,female,25 - 29
2010,Administrative & Support Services,3700,female,25 - 29
2009,Administrative & Support Services,3700,female,25 - 29
2008,Administrative & Support Services,3500,female,25 - 29
2007,Administrative & Support Services,3500,female,25 - 29
2006,Administrative & Support Services,2800,female,25 - 29
2005,Administrative & Support Services,3100,female,25 - 29
2004,Administrative & Support Services,3600,female,25 - 29
2003,Administrative & Support Services,3300,female,25 - 29
2002,Administrative & Support Services,3200,female,25 - 29
2001,Administrative & Support Services,3100,female,25 - 29
2000,Administrative & Support Services,3100,female,25 - 29
2021,Public Administration & Education,16300,female,25 - 29
2020,Public Administration & Education,16900,female,25 - 29
2019,Public Administration & Education,17700,female,25 - 29
2018,Public Administration & Education,18700,female,25 - 29
2017,Public Administration & Education,20100,female,25 - 29
2016,Public Administration & Education,20200,female,25 - 29
2015,Public Administration & Education,18100,female,25 - 29
2014,Public Administration & Education,17500,female,25 - 29
2013,Public Administration & Education,18600,female,25 - 29
2012,Public Administration & Education,17500,female,25 - 29
2011,Public Administration & Education,16100,female,25 - 29
2010,Public Administration & Education,17600,female,25 - 29
2009,Public Administration & Education,16000,female,25 - 29
2008,Public Administration & Education,16300,female,25 - 29
2007,Public Administration & Education,15700,female,25 - 29
2006,Public Administration & Education,16200,female,25 - 29
2005,Public Administration & Education,14800,female,25 - 29
2004,Public Administration & Education,15200,female,25 - 29
2003,Public Administration & Education,15900,female,25 - 29
2002,Public Administration & Education,13500,female,25 - 29
2001,Public Administration & Education,12800,female,25 - 29
2000,Public Administration & Education,11700,female,25 - 29
2021,Health & Social Services,16900,female,25 - 29
2020,Health & Social Services,19600,female,25 - 29
2019,Health & Social Services,17000,female,25 - 29
2018,Health & Social Services,15400,female,25 - 29
2017,Health & Social Services,15100,female,25 - 29
2016,Health & Social Services,15400,female,25 - 29
2015,Health & Social Services,12200,female,25 - 29
2014,Health & Social Services,11600,female,25 - 29
2013,Health & Social Services,10300,female,25 - 29
2012,Health & Social Services,9300,female,25 - 29
2011,Health & Social Services,9300,female,25 - 29
2010,Health & Social Services,8800,female,25 - 29
2009,Health & Social Services,8600,female,25 - 29
2008,Health & Social Services,8600,female,25 - 29
2007,Health & Social Services,7000,female,25 - 29
2006,Health & Social Services,7800,female,25 - 29
2005,Health & Social Services,6300,female,25 - 29
2004,Health & Social Services,6700,female,25 - 29
2003,Health & Social Services,5500,female,25 - 29
2002,Health & Social Services,5200,female,25 - 29
2001,Health & Social Services,4900,female,25 - 29
2000,Health & Social Services,5000,female,25 - 29
2021,"Arts, Entertainment & Recreation",2000,female,25 - 29
2020,"Arts, Entertainment & Recreation",2400,female,25 - 29
2019,"Arts, Entertainment & Recreation",2100,female,25 - 29
2018,"Arts, Entertainment & Recreation",2500,female,25 - 29
2017,"Arts, Entertainment & Recreation",2400,female,25 - 29
2016,"Arts, Entertainment & Recreation",3000,female,25 - 29
2015,"Arts, Entertainment & Recreation",2800,female,25 - 29
2014,"Arts, Entertainment & Recreation",2500,female,25 - 29
2013,"Arts, Entertainment & Recreation",2500,female,25 - 29
