year,age,sex,industry,numberOfWorkers,,,,,,,,,,,,,,,
2002,35-39,female,Accommodation & Food Services,5300,,,,,,,,,,,,,,,
2001,35-39,female,Accommodation & Food Services,6500,,,,,,,,,,,,,,,
2000,35-39,female,Accommodation & Food Services,4700,,,,,,,,,,,,,,,
2021,40-44,female,Accommodation & Food Services,6000,,,,,,,,,,,,,,,
2020,40-44,female,Accommodation & Food Services,5200,,,,,,,,,,,,,,,
2019,40-44,female,Accommodation & Food Services,7000,,,,,,,,,,,,,,,
2018,40-44,female,Accommodation & Food Services,7200,,,,,,,,,,,,,,,
2017,40-44,female,Accommodation & Food Services,7100,,,,,,,,,,,,,,,
2016,40-44,female,Accommodation & Food Services,6200,,,,,,,,,,,,,,,
2015,40-44,female,Accommodation & Food Services,7200,,,,,,,,,,,,,,,
2014,40-44,female,Accommodation & Food Services,7400,,,,,,,,,,,,,,,
2013,40-44,female,Accommodation & Food Services,7300,,,,,,,,,,,,,,,
2012,40-44,female,Accommodation & Food Services,7600,,,,,,,,,,,,,,,
2011,40-44,female,Accommodation & Food Services,6800,,,,,,,,,,,,,,,
2010,40-44,female,Accommodation & Food Services,7400,,,,,,,,,,,,,,,
2009,40-44,female,Accommodation & Food Services,7500,,,,,,,,,,,,,,,
2008,40-44,female,Accommodation & Food Services,8000,,,,,,,,,,,,,,,
2007,40-44,female,Accommodation & Food Services,7700,,,,,,,,,,,,,,,
2006,40-44,female,Accommodation & Food Services,8600,,,,,,,,,,,,,,,
2005,40-44,female,Accommodation & Food Services,7700,,,,,,,,,,,,,,,
2004,40-44,female,Accommodation & Food Services,7500,,,,,,,,,,,,,,,
2003,40-44,female,Accommodation & Food Services,7500,,,,,,,,,,,,,,,
2002,40-44,female,Accommodation & Food Services,7200,,,,,,,,,,,,,,,
2001,40-44,female,Accommodation & Food Services,8300,,,,,,,,,,,,,,,
2000,40-44,female,Accommodation & Food Services,7500,,,,,,,,,,,,,,,
2021,45-49,female,Accommodation & Food Services,6800,,,,,,,,,,,,,,,
2020,45-49,female,Accommodation & Food Services,6700,,,,,,,,,,,,,,,
2019,45-49,female,Accommodation & Food Services,7900,,,,,,,,,,,,,,,
2018,45-49,female,Accommodation & Food Services,7700,,,,,,,,,,,,,,,
2017,45-49,female,Accommodation & Food Services,8600,,,,,,,,,,,,,,,
2016,45-49,female,Accommodation & Food Services,8700,,,,,,,,,,,,,,,
2015,45-49,female,Accommodation & Food Services,8500,,,,,,,,,,,,,,,
2014,45-49,female,Accommodation & Food Services,8500,,,,,,,,,,,,,,,
2013,45-49,female,Accommodation & Food Services,8100,,,,,,,,,,,,,,,
2012,45-49,female,Accommodation & Food Services,9600,,,,,,,,,,,,,,,
2011,45-49,female,Accommodation & Food Services,10000,,,,,,,,,,,,,,,
2010,45-49,female,Accommodation & Food Services,9400,,,,,,,,,,,,,,,
2009,45-49,female,Accommodation & Food Services,10700,,,,,,,,,,,,,,,
2008,45-49,female,Accommodation & Food Services,10600,,,,,,,,,,,,,,,
2007,45-49,female,Accommodation & Food Services,10400,,,,,,,,,,,,,,,
2006,45-49,female,Accommodation & Food Services,11300,,,,,,,,,,,,,,,
2005,45-49,female,Accommodation & Food Services,9500,,,,,,,,,,,,,,,
2004,45-49,female,Accommodation & Food Services,10100,,,,,,,,,,,,,,,
2003,45-49,female,Accommodation & Food Services,9300,,,,,,,,,,,,,,,
2002,45-49,female,Accommodation & Food Services,9600,,,,,,,,,,,,,,,
2001,45-49,female,Accommodation & Food Services,9000,,,,,,,,,,,,,,,
2000,45-49,female,Accommodation & Food Services,8500,,,,,,,,,,,,,,,
2021,50-54,female,Accommodation & Food Services,7100,,,,,,,,,,,,,,,
2020,50-54,female,Accommodation & Food Services,7700,,,,,,,,,,,,,,,
2019,50-54,female,Accommodation & Food Services,9300,,,,,,,,,,,,,,,
2018,50-54,female,Accommodation & Food Services,9700,,,,,,,,,,,,,,,
2017,50-54,female,Accommodation & Food Services,9000,,,,,,,,,,,,,,,
2016,50-54,female,Accommodation & Food Services,10300,,,,,,,,,,,,,,,
2015,50-54,female,Accommodation & Food Services,10200,,,,,,,,,,,,,,,
2014,50-54,female,Accommodation & Food Services,12000,,,,,,,,,,,,,,,
2013,50-54,female,Accommodation & Food Services,11100,,,,,,,,,,,,,,,
2012,50-54,female,Accommodation & Food Services,11400,,,,,,,,,,,,,,,
2011,50-54,female,Accommodation & Food Services,11300,,,,,,,,,,,,,,,
2010,50-54,female,Accommodation & Food Services,11600,,,,,,,,,,,,,,,
2009,50-54,female,Accommodation & Food Services,11300,,,,,,,,,,,,,,,
2008,50-54,female,Accommodation & Food Services,11600,,,,,,,,,,,,,,,
2007,50-54,female,Accommodation & Food Services,10600,,,,,,,,,,,,,,,
2006,50-54,female,Accommodation & Food Services,11400,,,,,,,,,,,,,,,
2005,50-54,female,Accommodation & Food Services,8900,,,,,,,,,,,,,,,
2004,50-54,female,Accommodation & Food Services,9800,,,,,,,,,,,,,,,
2003,50-54,female,Accommodation & Food Services,9200,,,,,,,,,,,,,,,
2002,50-54,female,Accommodation & Food Services,8300,,,,,,,,,,,,,,,
2001,50-54,female,Accommodation & Food Services,9700,,,,,,,,,,,,,,,
2000,50-54,female,Accommodation & Food Services,7200,,,,,,,,,,,,,,,
2021,55-59,female,Accommodation & Food Services,7900,,,,,,,,,,,,,,,
2020,55-59,female,Accommodation & Food Services,10100,,,,,,,,,,,,,,,
2019,55-59,female,Accommodation & Food Services,9500,,,,,,,,,,,,,,,
2018,55-59,female,Accommodation & Food Services,8700,,,,,,,,,,,,,,,
2017,55-59,female,Accommodation & Food Services,9800,,,,,,,,,,,,,,,
2016,55-59,female,Accommodation & Food Services,10800,,,,,,,,,,,,,,,
2015,55-59,female,Accommodation & Food Services,11300,,,,,,,,,,,,,,,
2014,55-59,female,Accommodation & Food Services,10800,,,,,,,,,,,,,,,
2013,55-59,female,Accommodation & Food Services,10800,,,,,,,,,,,,,,,
2012,55-59,female,Accommodation & Food Services,9600,,,,,,,,,,,,,,,
2011,55-59,female,Accommodation & Food Services,10100,,,,,,,,,,,,,,,
2010,55-59,female,Accommodation & Food Services,9600,,,,,,,,,,,,,,,
2009,55-59,female,Accommodation & Food Services,7400,,,,,,,,,,,,,,,
2008,55-59,female,Accommodation & Food Services,8200,,,,,,,,,,,,,,,
2007,55-59,female,Accommodation & Food Services,8100,,,,,,,,,,,,,,,
2006,55-59,female,Accommodation & Food Services,8600,,,,,,,,,,,,,,,
2005,55-59,female,Accommodation & Food Services,6100,,,,,,,,,,,,,,,
2004,55-59,female,Accommodation & Food Services,6200,,,,,,,,,,,,,,,
2003,55-59,female,Accommodation & Food Services,5300,,,,,,,,,,,,,,,
2002,55-59,female,Accommodation & Food Services,5600,,,,,,,,,,,,,,,
2001,55-59,female,Accommodation & Food Services,4400,,,,,,,,,,,,,,,
2000,55-59,female,Accommodation & Food Services,3700,,,,,,,,,,,,,,,
2021,60-64,female,Accommodation & Food Services,9700,,,,,,,,,,,,,,,
2020,60-64,female,Accommodation & Food Services,9300,,,,,,,,,,,,,,,
2019,60-64,female,Accommodation & Food Services,7500,,,,,,,,,,,,,,,
2018,60-64,female,Accommodation & Food Services,8500,,,,,,,,,,,,,,,
2017,60-64,female,Accommodation & Food Services,9700,,,,,,,,,,,,,,,
2016,60-64,female,Accommodation & Food Services,9000,,,,,,,,,,,,,,,
2015,60-64,female,Accommodation & Food Services,8400,,,,,,,,,,,,,,,
2014,60-64,female,Accommodation & Food Services,7600,,,,,,,,,,,,,,,
2013,60-64,female,Accommodation & Food Services,9000,,,,,,,,,,,,,,,
2012,60-64,female,Accommodation & Food Services,7300,,,,,,,,,,,,,,,
2011,60-64,female,Accommodation & Food Services,8000,,,,,,,,,,,,,,,
2010,60-64,female,Accommodation & Food Services,5600,,,,,,,,,,,,,,,
2009,60-64,female,Accommodation & Food Services,6000,,,,,,,,,,,,,,,
2008,60-64,female,Accommodation & Food Services,5000,,,,,,,,,,,,,,,
2007,60-64,female,Accommodation & Food Services,4000,,,,,,,,,,,,,,,
2006,60-64,female,Accommodation & Food Services,3000,,,,,,,,,,,,,,,
2005,60-64,female,Accommodation & Food Services,2700,,,,,,,,,,,,,,,
2004,60-64,female,Accommodation & Food Services,2700,,,,,,,,,,,,,,,
2003,60-64,female,Accommodation & Food Services,3200,,,,,,,,,,,,,,,
2002,60-64,female,Accommodation & Food Services,3300,,,,,,,,,,,,,,,
2001,60-64,female,Accommodation & Food Services,2600,,,,,,,,,,,,,,,
2000,60-64,female,Accommodation & Food Services,2100,,,,,,,,,,,,,,,
2021,65 and older,female,Accommodation & Food Services,11400,,,,,,,,,,,,,,,
2020,65 and older,female,Accommodation & Food Services,10600,,,,,,,,,,,,,,,
2019,65 and older,female,Accommodation & Food Services,10500,,,,,,,,,,,,,,,
2018,65 and older,female,Accommodation & Food Services,10100,,,,,,,,,,,,,,,
2017,65 and older,female,Accommodation & Food Services,9100,,,,,,,,,,,,,,,
2016,65 and older,female,Accommodation & Food Services,9000,,,,,,,,,,,,,,,
2015,65 and older,female,Accommodation & Food Services,8600,,,,,,,,,,,,,,,
2014,65 and older,female,Accommodation & Food Services,7400,,,,,,,,,,,,,,,
2013,65 and older,female,Accommodation & Food Services,6900,,,,,,,,,,,,,,,
2012,65 and older,female,Accommodation & Food Services,5300,,,,,,,,,,,,,,,
2011,65 and older,female,Accommodation & Food Services,4800,,,,,,,,,,,,,,,
2010,65 and older,female,Accommodation & Food Services,3800,,,,,,,,,,,,,,,
2009,65 and older,female,Accommodation & Food Services,3900,,,,,,,,,,,,,,,
2008,65 and older,female,Accommodation & Food Services,3700,,,,,,,,,,,,,,,
2007,65 and older,female,Accommodation & Food Services,3500,,,,,,,,,,,,,,,
2006,65 and older,female,Accommodation & Food Services,3500,,,,,,,,,,,,,,,
2005,65 and older,female,Accommodation & Food Services,1700,,,,,,,,,,,,,,,
2004,65 and older,female,Accommodation & Food Services,1700,,,,,,,,,,,,,,,
2003,65 and older,female,Accommodation & Food Services,1500,,,,,,,,,,,,,,,
2002,65 and older,female,Accommodation & Food Services,1800,,,,,,,,,,,,,,,
2001,65 and older,female,Accommodation & Food Services,1700,,,,,,,,,,,,,,,
2000,65 and older,female,Accommodation & Food Services,1400,,,,,,,,,,,,,,,
2021,15-19,male,Accommodation & Food Services,2500,,,,,,,,,,,,,,,
2020,15-19,male,Accommodation & Food Services,1900,,,,,,,,,,,,,,,
2019,15-19,male,Accommodation & Food Services,2000,,,,,,,,,,,,,,,
2018,15-19,male,Accommodation & Food Services,2700,,,,,,,,,,,,,,,
2017,15-19,male,Accommodation & Food Services,2800,,,,,,,,,,,,,,,
2016,15-19,male,Accommodation & Food Services,1900,,,,,,,,,,,,,,,
2015,15-19,male,Accommodation & Food Services,2400,,,,,,,,,,,,,,,
2014,15-19,male,Accommodation & Food Services,2900,,,,,,,,,,,,,,,
2013,15-19,male,Accommodation & Food Services,2500,,,,,,,,,,,,,,,
2012,15-19,male,Accommodation & Food Services,2500,,,,,,,,,,,,,,,
2011,15-19,male,Accommodation & Food Services,2700,,,,,,,,,,,,,,,
2010,15-19,male,Accommodation & Food Services,2500,,,,,,,,,,,,,,,
2009,15-19,male,Accommodation & Food Services,2100,,,,,,,,,,,,,,,
2008,15-19,male,Accommodation & Food Services,2000,,,,,,,,,,,,,,,
2007,15-19,male,Accommodation & Food Services,2900,,,,,,,,,,,,,,,
2006,15-19,male,Accommodation & Food Services,3100,,,,,,,,,,,,,,,
2005,15-19,male,Accommodation & Food Services,800,,,,,,,,,,,,,,,
2004,15-19,male,Accommodation & Food Services,1800,,,,,,,,,,,,,,,
2003,15-19,male,Accommodation & Food Services,1900,,,,,,,,,,,,,,,
2002,15-19,male,Accommodation & Food Services,1700,,,,,,,,,,,,,,,
2001,15-19,male,Accommodation & Food Services,2200,,,,,,,,,,,,,,,
2000,15-19,male,Accommodation & Food Services,800,,,,,,,,,,,,,,,
2021,20-24,male,Accommodation & Food Services,3200,,,,,,,,,,,,,,,
2020,20-24,male,Accommodation & Food Services,2500,,,,,,,,,,,,,,,
2019,20-24,male,Accommodation & Food Services,4600,,,,,,,,,,,,,,,
2018,20-24,male,Accommodation & Food Services,4400,,,,,,,,,,,,,,,
2017,20-24,male,Accommodation & Food Services,4600,,,,,,,,,,,,,,,
2016,20-24,male,Accommodation & Food Services,4600,,,,,,,,,,,,,,,
2015,20-24,male,Accommodation & Food Services,5100,,,,,,,,,,,,,,,
2014,20-24,male,Accommodation & Food Services,4700,,,,,,,,,,,,,,,
2013,20-24,male,Accommodation & Food Services,4300,,,,,,,,,,,,,,,
2012,20-24,male,Accommodation & Food Services,4200,,,,,,,,,,,,,,,
2011,20-24,male,Accommodation & Food Services,4400,,,,,,,,,,,,,,,
2010,20-24,male,Accommodation & Food Services,3500,,,,,,,,,,,,,,,
2009,20-24,male,Accommodation & Food Services,3900,,,,,,,,,,,,,,,
2008,20-24,male,Accommodation & Food Services,3600,,,,,,,,,,,,,,,
2007,20-24,male,Accommodation & Food Services,3700,,,,,,,,,,,,,,,
2006,20-24,male,Accommodation & Food Services,4100,,,,,,,,,,,,,,,
2005,20-24,male,Accommodation & Food Services,3100,,,,,,,,,,,,,,,
2004,20-24,male,Accommodation & Food Services,3400,,,,,,,,,,,,,,,
2003,20-24,male,Accommodation & Food Services,3000,,,,,,,,,,,,,,,
2002,20-24,male,Accommodation & Food Services,2500,,,,,,,,,,,,,,,
2001,20-24,male,Accommodation & Food Services,3000,,,,,,,,,,,,,,,
2000,20-24,male,Accommodation & Food Services,2600,,,,,,,,,,,,,,,
2021,25-29,male,Accommodation & Food Services,4600,,,,,,,,,,,,,,,
2020,25-29,male,Accommodation & Food Services,5000,,,,,,,,,,,,,,,
2019,25-29,male,Accommodation & Food Services,4500,,,,,,,,,,,,,,,
2018,25-29,male,Accommodation & Food Services,4900,,,,,,,,,,,,,,,
2017,25-29,male,Accommodation & Food Services,4200,,,,,,,,,,,,,,,
2016,25-29,male,Accommodation & Food Services,4800,,,,,,,,,,,,,,,
2015,25-29,male,Accommodation & Food Services,4800,,,,,,,,,,,,,,,
2014,25-29,male,Accommodation & Food Services,4500,,,,,,,,,,,,,,,
2013,25-29,male,Accommodation & Food Services,4400,,,,,,,,,,,,,,,
2012,25-29,male,Accommodation & Food Services,3700,,,,,,,,,,,,,,,
2011,25-29,male,Accommodation & Food Services,3800,,,,,,,,,,,,,,,
2010,25-29,male,Accommodation & Food Services,4600,,,,,,,,,,,,,,,
2009,25-29,male,Accommodation & Food Services,5200,,,,,,,,,,,,,,,
2008,25-29,male,Accommodation & Food Services,3800,,,,,,,,,,,,,,,
2007,25-29,male,Accommodation & Food Services,4800,,,,,,,,,,,,,,,
2006,25-29,male,Accommodation & Food Services,4800,,,,,,,,,,,,,,,
2005,25-29,male,Accommodation & Food Services,3800,,,,,,,,,,,,,,,
2004,25-29,male,Accommodation & Food Services,4000,,,,,,,,,,,,,,,
2003,25-29,male,Accommodation & Food Services,3700,,,,,,,,,,,,,,,
2002,25-29,male,Accommodation & Food Services,4100,,,,,,,,,,,,,,,
2001,25-29,male,Accommodation & Food Services,3400,,,,,,,,,,,,,,,
2000,25-29,male,Accommodation & Food Services,4300,,,,,,,,,,,,,,,
2021,30-34,male,Accommodation & Food Services,4300,,,,,,,,,,,,,,,
2020,30-34,male,Accommodation & Food Services,4500,,,,,,,,,,,,,,,
2019,30-34,male,Accommodation & Food Services,4100,,,,,,,,,,,,,,,
2018,30-34,male,Accommodation & Food Services,4200,,,,,,,,,,,,,,,
2017,30-34,male,Accommodation & Food Services,4800,,,,,,,,,,,,,,,
2016,30-34,male,Accommodation & Food Services,3900,,,,,,,,,,,,,,,
2015,30-34,male,Accommodation & Food Services,3800,,,,,,,,,,,,,,,
2014,30-34,male,Accommodation & Food Services,4500,,,,,,,,,,,,,,,
2013,30-34,male,Accommodation & Food Services,5000,,,,,,,,,,,,,,,
2012,30-34,male,Accommodation & Food Services,4200,,,,,,,,,,,,,,,
2011,30-34,male,Accommodation & Food Services,4500,,,,,,,,,,,,,,,
2010,30-34,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2009,30-34,male,Accommodation & Food Services,5600,,,,,,,,,,,,,,,
2008,30-34,male,Accommodation & Food Services,3700,,,,,,,,,,,,,,,
2007,30-34,male,Accommodation & Food Services,5600,,,,,,,,,,,,,,,
2006,30-34,male,Accommodation & Food Services,4600,,,,,,,,,,,,,,,
2005,30-34,male,Accommodation & Food Services,4300,,,,,,,,,,,,,,,
2004,30-34,male,Accommodation & Food Services,4800,,,,,,,,,,,,,,,
2003,30-34,male,Accommodation & Food Services,4500,,,,,,,,,,,,,,,
2002,30-34,male,Accommodation & Food Services,4300,,,,,,,,,,,,,,,
2001,30-34,male,Accommodation & Food Services,4800,,,,,,,,,,,,,,,
2000,30-34,male,Accommodation & Food Services,4900,,,,,,,,,,,,,,,
2021,35-39,male,Accommodation & Food Services,4600,,,,,,,,,,,,,,,
2020,35-39,male,Accommodation & Food Services,4700,,,,,,,,,,,,,,,
2019,35-39,male,Accommodation & Food Services,3600,,,,,,,,,,,,,,,
2018,35-39,male,Accommodation & Food Services,4300,,,,,,,,,,,,,,,
2017,35-39,male,Accommodation & Food Services,4700,,,,,,,,,,,,,,,
2016,35-39,male,Accommodation & Food Services,4600,,,,,,,,,,,,,,,
2015,35-39,male,Accommodation & Food Services,4900,,,,,,,,,,,,,,,
2014,35-39,male,Accommodation & Food Services,4700,,,,,,,,,,,,,,,
2013,35-39,male,Accommodation & Food Services,4900,,,,,,,,,,,,,,,
2012,35-39,male,Accommodation & Food Services,4500,,,,,,,,,,,,,,,
2011,35-39,male,Accommodation & Food Services,6000,,,,,,,,,,,,,,,
2010,35-39,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2009,35-39,male,Accommodation & Food Services,5000,,,,,,,,,,,,,,,
2008,35-39,male,Accommodation & Food Services,5600,,,,,,,,,,,,,,,
2007,35-39,male,Accommodation & Food Services,5100,,,,,,,,,,,,,,,
2006,35-39,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2005,35-39,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2004,35-39,male,Accommodation & Food Services,5600,,,,,,,,,,,,,,,
2003,35-39,male,Accommodation & Food Services,6000,,,,,,,,,,,,,,,
2002,35-39,male,Accommodation & Food Services,6500,,,,,,,,,,,,,,,
2001,35-39,male,Accommodation & Food Services,6200,,,,,,,,,,,,,,,
2000,35-39,male,Accommodation & Food Services,6700,,,,,,,,,,,,,,,
2021,40-44,male,Accommodation & Food Services,3900,,,,,,,,,,,,,,,
2020,40-44,male,Accommodation & Food Services,4000,,,,,,,,,,,,,,,
2019,40-44,male,Accommodation & Food Services,4600,,,,,,,,,,,,,,,
2018,40-44,male,Accommodation & Food Services,4800,,,,,,,,,,,,,,,
2017,40-44,male,Accommodation & Food Services,5600,,,,,,,,,,,,,,,
2016,40-44,male,Accommodation & Food Services,5700,,,,,,,,,,,,,,,
2015,40-44,male,Accommodation & Food Services,6200,,,,,,,,,,,,,,,
2014,40-44,male,Accommodation & Food Services,5500,,,,,,,,,,,,,,,
2013,40-44,male,Accommodation & Food Services,5200,,,,,,,,,,,,,,,
2012,40-44,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2011,40-44,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2010,40-44,male,Accommodation & Food Services,6400,,,,,,,,,,,,,,,
2009,40-44,male,Accommodation & Food Services,5800,,,,,,,,,,,,,,,
2008,40-44,male,Accommodation & Food Services,5900,,,,,,,,,,,,,,,
2007,40-44,male,Accommodation & Food Services,6900,,,,,,,,,,,,,,,
2006,40-44,male,Accommodation & Food Services,8600,,,,,,,,,,,,,,,
2005,40-44,male,Accommodation & Food Services,7200,,,,,,,,,,,,,,,
2004,40-44,male,Accommodation & Food Services,7900,,,,,,,,,,,,,,,
2003,40-44,male,Accommodation & Food Services,7500,,,,,,,,,,,,,,,
2002,40-44,male,Accommodation & Food Services,7800,,,,,,,,,,,,,,,
2001,40-44,male,Accommodation & Food Services,7400,,,,,,,,,,,,,,,
2000,40-44,male,Accommodation & Food Services,7100,,,,,,,,,,,,,,,
2021,45-49,male,Accommodation & Food Services,4700,,,,,,,,,,,,,,,
2020,45-49,male,Accommodation & Food Services,5700,,,,,,,,,,,,,,,
2019,45-49,male,Accommodation & Food Services,5000,,,,,,,,,,,,,,,
2018,45-49,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2017,45-49,male,Accommodation & Food Services,5700,,,,,,,,,,,,,,,
2016,45-49,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2015,45-49,male,Accommodation & Food Services,5600,,,,,,,,,,,,,,,
2014,45-49,male,Accommodation & Food Services,5800,,,,,,,,,,,,,,,
2013,45-49,male,Accommodation & Food Services,6300,,,,,,,,,,,,,,,
2012,45-49,male,Accommodation & Food Services,7800,,,,,,,,,,,,,,,
2011,45-49,male,Accommodation & Food Services,8200,,,,,,,,,,,,,,,
2010,45-49,male,Accommodation & Food Services,8200,,,,,,,,,,,,,,,
2009,45-49,male,Accommodation & Food Services,6200,,,,,,,,,,,,,,,
2008,45-49,male,Accommodation & Food Services,7400,,,,,,,,,,,,,,,
2007,45-49,male,Accommodation & Food Services,7900,,,,,,,,,,,,,,,
2006,45-49,male,Accommodation & Food Services,9200,,,,,,,,,,,,,,,
2005,45-49,male,Accommodation & Food Services,8000,,,,,,,,,,,,,,,
2004,45-49,male,Accommodation & Food Services,7600,,,,,,,,,,,,,,,
2003,45-49,male,Accommodation & Food Services,7900,,,,,,,,,,,,,,,
2002,45-49,male,Accommodation & Food Services,8000,,,,,,,,,,,,,,,
2001,45-49,male,Accommodation & Food Services,7500,,,,,,,,,,,,,,,
2000,45-49,male,Accommodation & Food Services,6600,,,,,,,,,,,,,,,
2021,50-54,male,Accommodation & Food Services,5000,,,,,,,,,,,,,,,
2020,50-54,male,Accommodation & Food Services,5300,,,,,,,,,,,,,,,
2019,50-54,male,Accommodation & Food Services,5900,,,,,,,,,,,,,,,
2018,50-54,male,Accommodation & Food Services,6700,,,,,,,,,,,,,,,
2017,50-54,male,Accommodation & Food Services,6100,,,,,,,,,,,,,,,
2016,50-54,male,Accommodation & Food Services,7700,,,,,,,,,,,,,,,
2015,50-54,male,Accommodation & Food Services,7700,,,,,,,,,,,,,,,
2014,50-54,male,Accommodation & Food Services,7600,,,,,,,,,,,,,,,
2013,50-54,male,Accommodation & Food Services,7100,,,,,,,,,,,,,,,
2012,50-54,male,Accommodation & Food Services,8000,,,,,,,,,,,,,,,
2011,50-54,male,Accommodation & Food Services,8000,,,,,,,,,,,,,,,
2010,50-54,male,Accommodation & Food Services,7500,,,,,,,,,,,,,,,
2009,50-54,male,Accommodation & Food Services,7300,,,,,,,,,,,,,,,
2008,50-54,male,Accommodation & Food Services,8200,,,,,,,,,,,,,,,
2007,50-54,male,Accommodation & Food Services,8500,,,,,,,,,,,,,,,
2006,50-54,male,Accommodation & Food Services,7900,,,,,,,,,,,,,,,
2005,50-54,male,Accommodation & Food Services,6300,,,,,,,,,,,,,,,
2004,50-54,male,Accommodation & Food Services,7400,,,,,,,,,,,,,,,
2003,50-54,male,Accommodation & Food Services,7400,,,,,,,,,,,,,,,
2002,50-54,male,Accommodation & Food Services,7000,,,,,,,,,,,,,,,
2001,50-54,male,Accommodation & Food Services,6900,,,,,,,,,,,,,,,
2000,50-54,male,Accommodation & Food Services,6000,,,,,,,,,,,,,,,
2021,55-59,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2020,55-59,male,Accommodation & Food Services,6800,,,,,,,,,,,,,,,
2019,55-59,male,Accommodation & Food Services,8300,,,,,,,,,,,,,,,
2018,55-59,male,Accommodation & Food Services,7400,,,,,,,,,,,,,,,
2017,55-59,male,Accommodation & Food Services,6800,,,,,,,,,,,,,,,
2016,55-59,male,Accommodation & Food Services,7200,,,,,,,,,,,,,,,
2015,55-59,male,Accommodation & Food Services,7900,,,,,,,,,,,,,,,
2014,55-59,male,Accommodation & Food Services,7800,,,,,,,,,,,,,,,
2013,55-59,male,Accommodation & Food Services,7800,,,,,,,,,,,,,,,
2012,55-59,male,Accommodation & Food Services,7000,,,,,,,,,,,,,,,
2011,55-59,male,Accommodation & Food Services,7100,,,,,,,,,,,,,,,
2010,55-59,male,Accommodation & Food Services,7100,,,,,,,,,,,,,,,
2009,55-59,male,Accommodation & Food Services,7200,,,,,,,,,,,,,,,
2008,55-59,male,Accommodation & Food Services,5300,,,,,,,,,,,,,,,
2007,55-59,male,Accommodation & Food Services,6700,,,,,,,,,,,,,,,
2006,55-59,male,Accommodation & Food Services,7200,,,,,,,,,,,,,,,
2005,55-59,male,Accommodation & Food Services,5300,,,,,,,,,,,,,,,
2004,55-59,male,Accommodation & Food Services,5100,,,,,,,,,,,,,,,
2003,55-59,male,Accommodation & Food Services,4200,,,,,,,,,,,,,,,
2002,55-59,male,Accommodation & Food Services,4100,,,,,,,,,,,,,,,
2001,55-59,male,Accommodation & Food Services,3400,,,,,,,,,,,,,,,
2000,55-59,male,Accommodation & Food Services,3500,,,,,,,,,,,,,,,
2021,60-64,male,Accommodation & Food Services,6500,,,,,,,,,,,,,,,
2020,60-64,male,Accommodation & Food Services,6200,,,,,,,,,,,,,,,
2019,60-64,male,Accommodation & Food Services,6900,,,,,,,,,,,,,,,
2018,60-64,male,Accommodation & Food Services,6200,,,,,,,,,,,,,,,
2017,60-64,male,Accommodation & Food Services,6200,,,,,,,,,,,,,,,
2016,60-64,male,Accommodation & Food Services,6900,,,,,,,,,,,,,,,
2015,60-64,male,Accommodation & Food Services,5700,,,,,,,,,,,,,,,
2014,60-64,male,Accommodation & Food Services,5700,,,,,,,,,,,,,,,
2013,60-64,male,Accommodation & Food Services,6000,,,,,,,,,,,,,,,
2012,60-64,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2011,60-64,male,Accommodation & Food Services,5400,,,,,,,,,,,,,,,
2010,60-64,male,Accommodation & Food Services,5100,,,,,,,,,,,,,,,
2009,60-64,male,Accommodation & Food Services,5100,,,,,,,,,,,,,,,
2008,60-64,male,Accommodation & Food Services,3700,,,,,,,,,,,,,,,
2007,60-64,male,Accommodation & Food Services,3500,,,,,,,,,,,,,,,
2006,60-64,male,Accommodation & Food Services,3500,,,,,,,,,,,,,,,
2005,60-64,male,Accommodation & Food Services,2600,,,,,,,,,,,,,,,
2004,60-64,male,Accommodation & Food Services,2800,,,,,,,,,,,,,,,
2003,60-64,male,Accommodation & Food Services,3800,,,,,,,,,,,,,,,
2002,60-64,male,Accommodation & Food Services,3000,,,,,,,,,,,,,,,
2001,60-64,male,Accommodation & Food Services,3000,,,,,,,,,,,,,,,
2000,60-64,male,Accommodation & Food Services,2300,,,,,,,,,,,,,,,
2021,65 and older,male,Accommodation & Food Services,10500,,,,,,,,,,,,,,,
2020,65 and older,male,Accommodation & Food Services,9200,,,,,,,,,,,,,,,
2019,65 and older,male,Accommodation & Food Services,8600,,,,,,,,,,,,,,,
2018,65 and older,male,Accommodation & Food Services,8300,,,,,,,,,,,,,,,
2017,65 and older,male,Accommodation & Food Services,9000,,,,,,,,,,,,,,,
2016,65 and older,male,Accommodation & Food Services,7200,,,,,,,,,,,,,,,
2015,65 and older,male,Accommodation & Food Services,6900,,,,,,,,,,,,,,,
2014,65 and older,male,Accommodation & Food Services,7000,,,,,,,,,,,,,,,
2013,65 and older,male,Accommodation & Food Services,6600,,,,,,,,,,,,,,,
2012,65 and older,male,Accommodation & Food Services,5600,,,,,,,,,,,,,,,
2011,65 and older,male,Accommodation & Food Services,5500,,,,,,,,,,,,,,,
